                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   170982.06069        0.88985   -2.98732      0.00281**  
         royston      104.72197        0.35354                            
   henze-zirkler            1.0            1.0                            
  doornik-hansen      190.58107        0.67187                            
          energy        5.28775           0.54                            
-----------------------------------------------------------------------------------------------------------
  col        jb   p-value (jb)        k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   68   0.10184        0.95035   0.16188        0.92225   0.03246        0.23781   0.99839        0.48276  
   69   0.64428         0.7246   0.60842        0.73771   0.02452         0.5844   0.99914        0.93624  
   70   0.40697        0.81588   0.32843        0.84856   0.01127        0.99957   0.99932        0.98155  
   71   0.56401        0.75427   0.66102        0.71856   0.02316        0.65669   0.99897        0.85881  
   72   2.73155        0.25518   2.80007        0.24659   0.02981        0.33145   0.99818        0.36511  
   73   5.46232        0.06514    4.6286        0.09884   0.02948        0.34473   0.99795         0.2621  
   74   0.75209        0.68657     0.882        0.64339   0.04695       0.02357*   0.99828        0.41998  
   75   0.10165        0.95044   0.07399        0.96368   0.02351          0.638   0.99929        0.97705  
   76   0.17553        0.91598   0.24902        0.88293   0.03131        0.27583   0.99809        0.32431  
   77   5.15271        0.07605   5.10266        0.07798    0.0164        0.95075   0.99724        0.08505  
   78   1.28731        0.52537   1.37647        0.50246   0.03442         0.1827   0.99885        0.78532  
   79   3.60159        0.16517   4.08587        0.12965   0.02366           0.63   0.99808        0.31733  
   80   3.30786         0.1913   3.00416        0.22267   0.02135        0.75198   0.99853        0.57708  
   81   0.09373        0.95421   0.15444        0.92569   0.02678        0.46827   0.99856        0.59351  
   82   1.03926        0.59474   0.96119        0.61842   0.03229        0.24337   0.99843         0.5096  
   83   3.39182        0.18343   3.35491        0.18685   0.04148        0.06228    0.9977        0.17855  
   84   1.68266        0.43114   1.60681         0.4478   0.02515        0.55169   0.99875        0.72026  
   85   4.71289        0.09476   4.03446        0.13302    0.0307        0.29767   0.99731        0.09556  
   86   2.14899        0.34147   2.09008        0.35168   0.02372        0.62675   0.99843        0.51189  
   87   6.06246       0.04826*   5.34465        0.06909    0.0242        0.60161   0.99714        0.07188  
   88   4.06161        0.13123   5.27354        0.07159   0.03116        0.28086   0.99804         0.2987  
   89   3.99584        0.13562   3.77924        0.15113   0.03535        0.16044   0.99786        0.22957  
   90   1.41329         0.4933   1.37381        0.50313   0.02033        0.80296   0.99858        0.60795  
