                           t1   p-value (t1)        t2   p-value (t2)  
-----------------------------------------------------------------------
          mardia   173303.594        0.00317   2.93243        0.00336  
         royston   1687.54623            0.0                           
   henze-zirkler          1.0            0.0                           
  doornik-hansen    1439.2044            0.0                           
          energy      5.29655           0.06                           
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   65   23.56275      1e-05****   15.57284     0.00042***   0.09065        0.0****   0.99105      1e-05****  
   66   21.97471      2e-05****   14.03994     0.00089***   0.08713        0.0****   0.99008        0.0****  
   67    9.83331      0.00732**    7.57382       0.02267*   0.08677        0.0****   0.99508      0.00251**  
   68    2.91871        0.23239    2.80094        0.24648   0.08705        0.0****   0.99609       0.01273*  
   69    9.61065      0.00819**    8.38098       0.01514*   0.08393        0.0****   0.99157      2e-05****  
   70   35.47949        0.0****   20.96198      3e-05****   0.08249        0.0****     0.991      1e-05****  
   71    9.58763      0.00828**    7.38938       0.02486*   0.08789        0.0****   0.99301     0.00012***  
   72   13.95983     0.00093***   10.18845      0.00613**   0.08231        0.0****   0.99372     0.00033***  
   73   29.76904        0.0****    17.1169     0.00019***   0.08446        0.0****   0.99091      1e-05****  
   74    7.80242       0.02022*    6.58237       0.03721*    0.0812        0.0****    0.9942     0.00066***  
   75   35.70147        0.0****   23.77461      1e-05****   0.07947      1e-05****   0.99213      4e-05****  
   76   17.23478     0.00018***   11.18046      0.00373**   0.07551      2e-05****    0.9944     0.00089***  
   77   44.02981        0.0****   29.12584        0.0****   0.07896      1e-05****   0.98898        0.0****  
   78   16.65725     0.00024***    12.6317      0.00181**   0.08581        0.0****   0.99273      8e-05****  
   79   26.64259        0.0****   16.48704     0.00026***   0.08026        0.0****   0.99049        0.0****  
   80    6.17545       0.04561*     5.2589        0.07212   0.07895      1e-05****   0.99504      0.00238**  
   81   40.29436        0.0****   22.93165      1e-05****   0.08437        0.0****   0.99057      1e-05****  
   82    13.7356      0.00104**   11.26232      0.00358**    0.0985        0.0****   0.99013        0.0****  
