                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   167957.35927            1.0   -1.52154        0.12812  
         royston      126.71729          0.036                            
   henze-zirkler          400.0            0.0                            
  doornik-hansen            nan            nan                            
          energy            nan            nan                            
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   68    2.12504        0.34558    3.69586        0.15756   0.08443        0.45475   0.98663        0.41344  
   69    3.59996         0.1653    4.26542        0.11852   0.05305        0.94102    0.9862        0.38585  
   70    0.38667         0.8242    0.28723        0.86622   0.05835        0.88534   0.99204        0.82383  
   71    0.29626        0.86232    0.22357        0.89424   0.05627        0.90953   0.99449        0.95969  
   72    1.34805        0.50965    1.38952        0.49919   0.08656        0.42218   0.98826        0.52754  
   73    0.41415        0.81296    0.23184        0.89055   0.06247        0.83003   0.98842        0.53961  
   74    3.21802        0.20009    3.21563        0.20032   0.05675        0.90416   0.97919        0.11499  
   75      4.905        0.08608    4.88526        0.08693   0.11193        0.15128   0.98221        0.19695  
   76   14.65149     0.00066***   11.28569      0.00354**   0.14102        0.0338*   0.97443       0.04873*  
   77    2.22565        0.32863    2.45683        0.29276   0.07482        0.62174   0.98826        0.52787  
   78    1.84916         0.3967     1.8645        0.39367   0.10642        0.19326   0.98598        0.37296  
   79    0.13838        0.93315    0.01523        0.99241   0.06855        0.74732   0.98921        0.60093  
   80    3.96392         0.1378   11.84026      0.00268**   0.05626        0.90959   0.97271       0.03576*  
   81    2.43548         0.2959    4.92893        0.08505    0.0804        0.52079   0.98353        0.24774  
   82    4.63672        0.09843    4.77912        0.09167   0.06211        0.83522   0.97495        0.05345  
   83    0.81007        0.66695    0.76625        0.68173   0.06759        0.76763   0.99297        0.88626  
   84    3.71734        0.15588    4.34015        0.11417   0.05563        0.91632   0.98644        0.40089  
   85    3.17195        0.20475    3.68874        0.15812   0.09178        0.34913   0.97661        0.07218  
   86    0.56346        0.75448    1.00754        0.60425   0.08421        0.45819   0.98319         0.2336  
   87    2.21406        0.33054     2.7118        0.25772   0.08276         0.4815   0.97692        0.07634  
   88    0.99405        0.60834    1.53875         0.4633   0.08617        0.42798   0.98992        0.65842  
   89    0.09493        0.95364    0.00977        0.99513   0.06113        0.84901   0.99468        0.96611  
   90    0.40676        0.81597    0.22517        0.89352   0.10245        0.22881   0.99482        0.97033  
   91     2.4062        0.30026    3.88244        0.14353   0.10589        0.19777   0.98348        0.24575  
   92      2.442        0.29493    3.98997        0.13602    0.1047        0.20807    0.9831        0.23006  
   93    10.9888      0.00411**    8.71693        0.0128*   0.08135        0.50478   0.97776        0.08876  
   94    3.21058        0.20083    3.88777        0.14315   0.09291        0.33464   0.98441        0.28789  
   95    0.65071        0.72227    0.57953        0.74844   0.06823        0.75397   0.99284        0.87796  
   96    0.59855        0.74135    0.87532        0.64555   0.09057        0.36518   0.99282         0.8772  
   97    0.35626        0.83683      0.598        0.74156   0.10087        0.24436   0.98801        0.50922  
   98    0.58518        0.74633    0.93983        0.62505   0.11453        0.13418   0.98972        0.64179  
   99    3.08173         0.2142    3.41958         0.1809   0.07863        0.55165   0.97745        0.08403  
  100     1.1096        0.57419    1.09329        0.57889   0.13464       0.04835*   0.99059        0.71188  
-------------------------------------------------------------------------------------------------------------
