                             t1   p-value (t1)          t2   p-value (t2)  
---------------------------------------------------------------------------
          mardia   166556.78783            1.0   -13.17674            0.0  
         royston     7075.18911            0.0                             
   henze-zirkler            1.0            0.0                             
  doornik-hansen     9091.62336            0.0                             
          energy        5.28912            0.4                             
---------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)           k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   68   52.26348        0.0****    418.98604        0.0****   0.15976        0.0****   0.96177        0.0****  
   69   61.00587        0.0****    794.72686        0.0****   0.15936        0.0****   0.95376        0.0****  
   70   62.47278        0.0****    889.22232        0.0****   0.15949        0.0****   0.95233        0.0****  
   71   65.06549        0.0****   1127.82249        0.0****   0.15995        0.0****   0.94897        0.0****  
   72   58.75053        0.0****    660.54792        0.0****   0.15931        0.0****   0.95636        0.0****  
   73   62.10547        0.0****    868.19378        0.0****   0.15913        0.0****   0.95365        0.0****  
   74   57.69341        0.0****    613.83234        0.0****    0.1592        0.0****   0.95757        0.0****  
   75   63.39198        0.0****    955.58456        0.0****   0.15952        0.0****   0.95197        0.0****  
   76   56.01678        0.0****    541.74747        0.0****    0.1591        0.0****   0.95686        0.0****  
   77   58.55269        0.0****    643.90262        0.0****   0.16043        0.0****   0.95592        0.0****  
   78   57.51751        0.0****    598.86625        0.0****   0.15946        0.0****   0.95638        0.0****  
   79   63.01115        0.0****    840.92252        0.0****      0.16        0.0****   0.95074        0.0****  
   80    63.6512        0.0****    996.75936        0.0****   0.16062        0.0****    0.9498        0.0****  
   81   62.62555        0.0****    912.24379        0.0****   0.16021        0.0****   0.95276        0.0****  
   82   59.85925        0.0****    725.56317        0.0****   0.15954        0.0****   0.95608        0.0****  
   83   55.77238        0.0****    530.92999        0.0****   0.15871        0.0****   0.95707        0.0****  
   84   54.07426        0.0****    447.66755        0.0****   0.15915        0.0****   0.96031        0.0****  
   85   61.31129        0.0****    673.36955        0.0****   0.15935        0.0****   0.95353        0.0****  
   86   63.44931        0.0****    977.93579        0.0****   0.16005        0.0****   0.95077        0.0****  
   87   64.84046        0.0****   1067.47844        0.0****    0.1598        0.0****   0.94938        0.0****  
   88   53.84283        0.0****    442.69381        0.0****   0.15939        0.0****   0.96038        0.0****  
   89   56.57165        0.0****    550.20769        0.0****   0.16093        0.0****   0.95671        0.0****  
   90   59.36749        0.0****    699.04119        0.0****   0.16062        0.0****   0.95574        0.0****  
   91   54.71155        0.0****     485.0631        0.0****   0.15961        0.0****   0.95876        0.0****  
   92    56.3757        0.0****    483.59495        0.0****   0.15929        0.0****   0.95698        0.0****  
   93   68.21941        0.0****   1484.31495        0.0****   0.15919        0.0****   0.94493        0.0****  
   94   67.06065        0.0****   1388.41263        0.0****   0.15984        0.0****   0.94743        0.0****  
   95   62.58668        0.0****    886.89626        0.0****    0.1605        0.0****   0.95288        0.0****  
   96   65.17219        0.0****   1089.63119        0.0****   0.15901        0.0****   0.94957        0.0****  
   97    59.1665        0.0****    684.98241        0.0****   0.15985        0.0****   0.95482        0.0****  
   98    59.7473        0.0****    719.53228        0.0****   0.16082        0.0****   0.95583        0.0****  
   99   49.27473        0.0****    343.64592        0.0****   0.16032        0.0****   0.96379        0.0****  
  100   55.96626        0.0****    539.11939        0.0****    0.1594        0.0****    0.9587        0.0****  
---------------------------------------------------------------------------------------------------------------
