                             t1   p-value (t1)          t2   p-value (t2)  
---------------------------------------------------------------------------
          mardia   145673.03705            1.0   -31.30128            0.0  
         royston     1159.72503            0.0                             
   henze-zirkler          400.0            0.0                             
  doornik-hansen            nan            nan                             
          energy        5.26878            nan                             
------------------------------------------------------------------------------------------------------------
  col        jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   64   7.83935       0.01985*   81.39603        0.0****   0.16694      0.00664**   0.92526      3e-05****  
   65   5.98178        0.05024     32.773        0.0****   0.16745      0.00641**    0.9517      0.00108**  
   66   5.54836         0.0624     22.821      1e-05****   0.16328       0.0085**   0.95251      0.00122**  
   67   5.46243        0.06514   25.83768        0.0****   0.17204      0.00466**   0.95826      0.00303**  
   68   6.40668       0.04063*   34.83436        0.0****   0.18721      0.00153**   0.95022     0.00086***  
   69   5.18622        0.07479   22.34672      1e-05****   0.16633      0.00692**    0.9573      0.00259**  
   70   6.63146       0.03631*   45.11787        0.0****   0.18373      0.00199**   0.94601     0.00046***  
   71   7.29713       0.02603*    53.8161        0.0****   0.16781      0.00625**   0.93938     0.00018***  
   72   7.64357       0.02189*   73.84338        0.0****   0.17574      0.00358**   0.93257      7e-05****  
   73   7.15182       0.02799*   57.89708        0.0****   0.16944      0.00559**   0.94312      0.0003***  
   74   5.69033        0.05812    27.9104        0.0****   0.17035      0.00525**   0.95854      0.00317**  
   75   6.81103       0.03319*   39.93616        0.0****   0.16768      0.00631**   0.94358     0.00032***  
   76   6.26654       0.04357*   33.59744        0.0****   0.16451      0.00782**   0.94929     0.00074***  
   77   6.90793       0.03162*   50.76578        0.0****   0.16143       0.0096**   0.94048     0.00021***  
   78   5.07276        0.07915   21.25883      2e-05****   0.16899      0.00576**   0.95314      0.00134**  
   79   6.64336       0.03609*   44.79476        0.0****   0.16742      0.00642**   0.93947     0.00018***  
   80    5.8296        0.05421   30.83179        0.0****   0.16064       0.01011*   0.95304      0.00132**  
   81   6.13917       0.04644*   35.64098        0.0****   0.16568      0.00723**   0.94704     0.00053***  
   82   6.56485       0.03754*     41.007        0.0****   0.16054       0.01018*   0.94718     0.00054***  
   83   6.23544       0.04426*    18.1232     0.00012***    0.1647      0.00772**   0.93674     0.00012***  
   84   6.30904       0.04266*   37.59898        0.0****   0.16786      0.00623**   0.94768     0.00059***  
   85   4.04636        0.13223   12.36077      0.00207**    0.1647      0.00772**   0.96909       0.01882*  
   86   4.91893        0.08548   15.86162     0.00036***   0.17046      0.00521**   0.95894      0.00338**  
   87   6.22186       0.04456*   32.64278        0.0****   0.17847      0.00294**   0.95213      0.00115**  
   88   4.70407        0.09518   17.58851     0.00015***   0.16093      0.00992**   0.96181      0.00543**  
   89   6.56514       0.03753*   41.18703        0.0****   0.16339      0.00843**   0.94398     0.00034***  
   90   4.70791        0.09499   17.75309     0.00014***   0.16477      0.00768**   0.96075      0.00455**  
   91   5.94575        0.05116   31.43065        0.0****   0.17609       0.0035**   0.95222      0.00117**  
   92   6.11996       0.04689*   34.99729        0.0****   0.16472      0.00771**   0.95028     0.00087***  
   93   6.26435       0.04362*   35.32048        0.0****   0.16317      0.00855**   0.94883     0.00069***  
   94   6.25829       0.04376*   37.87691        0.0****   0.18305       0.0021**   0.94928     0.00074***  
   95   4.91596        0.08561   17.57752     0.00015***   0.16134      0.00966**   0.95747      0.00267**  
   96    6.6425       0.03611*   26.69066        0.0****    0.1723      0.00458**   0.94697     0.00053***  
   97   5.28184         0.0713   15.27976     0.00048***   0.16684      0.00668**   0.95519      0.00185**  
   98   7.61536        0.0222*   59.31655        0.0****   0.17593      0.00354**     0.933      7e-05****  
   99   4.44886        0.10813   10.80405      0.00451**   0.16324      0.00851**   0.95841       0.0031**  
  100   8.03829       0.01797*     77.158        0.0****   0.16648      0.00685**   0.92806      4e-05****  
------------------------------------------------------------------------------------------------------------
