                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   171828.56195        0.41275   -0.68398        0.49399  
         royston      135.80183        0.01001                            
   henze-zirkler            1.0            0.0                            
  doornik-hansen      218.53983        0.17544                            
          energy        5.29109           0.21                            
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   68    3.45895        0.17738     4.2387        0.12011   0.02578        0.51937   0.99734        0.09999  
   69    2.54241        0.28049    2.62803        0.26874   0.02785          0.416    0.9975         0.1293  
   70    0.24245        0.88584    0.26857        0.87434   0.02596        0.51032   0.99928        0.97421  
   71    2.05354        0.35816    2.17612        0.33687   0.02546        0.53609   0.99851        0.56004  
   72    1.18125        0.55398    1.17378        0.55605   0.04655       0.02541*    0.9985        0.55182  
   73    2.47206        0.29054    2.36125        0.30709    0.0538      0.00589**   0.99791         0.2472  
   74    1.70352        0.42666    1.67384        0.43304   0.05051       0.01174*   0.99829        0.42758  
   75    1.01188        0.60294    0.93147        0.62767   0.02966        0.33771   0.99851         0.5631  
   76    1.27392         0.5289    1.39325        0.49826   0.02711        0.45165   0.99878        0.73885  
   77     7.9746       0.01855*    7.99349       0.01838*   0.02748         0.4336   0.99632       0.01846*  
   78    2.73933        0.25419    2.70218        0.25896   0.01773        0.91181   0.99817        0.36259  
   79    0.61558        0.73507    0.59346        0.74324   0.04189        0.05818   0.99863         0.6403  
   80    4.28371        0.11744    4.41214        0.11013   0.02137        0.75105   0.99779         0.2042  
   81    4.19414        0.12282    4.19834        0.12256   0.03059        0.30153   0.99765        0.16459  
   82    8.18422        0.0167*    8.13401       0.01713*   0.02174        0.73189   0.99646       0.02326*  
   83     4.1388        0.12626    4.10739        0.12826   0.01823        0.89376   0.99735        0.10123  
   84   13.33881      0.00127**   11.92802      0.00257**   0.02567        0.52506   0.99592      0.00957**  
   85    0.33307        0.84659    0.25772         0.8791   0.02593        0.51204   0.99881        0.76003  
   86     6.8895       0.03191*    5.68904        0.05816   0.03391        0.19606   0.99647        0.0238*  
   87    0.39788         0.8196    0.31004         0.8564   0.02864        0.38046   0.99896        0.85113  
   88    0.14669        0.92928    0.23925        0.88725   0.02412        0.60584    0.9993        0.97896  
   89    0.16311        0.92168    0.09412        0.95403   0.03022        0.31537   0.99869        0.68087  
   90    0.34427        0.84187    0.26065        0.87781   0.03246        0.23777   0.99826        0.41049  
   91    1.25231        0.53464    1.37422        0.50303   0.01956         0.8389   0.99851        0.55984  
   92    3.57764        0.16716    4.06198        0.13121   0.04228        0.05442   0.99752        0.13319  
   93     2.6551        0.26513    2.79143        0.24766   0.02761        0.42745   0.99834        0.45275  
   94    0.57016        0.75195    0.49068        0.78244   0.01422        0.98752   0.99935        0.98642  
   95    8.88689       0.01176*    7.60428       0.02232*   0.03817        0.10571   0.99657       0.02787*  
   96    3.73524        0.15449    3.59987        0.16531   0.01284        0.99653    0.9984        0.49042  
   97    1.24132        0.53759     1.3626        0.50596   0.02835        0.39352   0.99737        0.10586  
   98    3.00754        0.22229    3.24068        0.19783   0.02154        0.74237   0.99782        0.21408  
   99    1.72377        0.42236     1.6481        0.43865   0.02524        0.54691   0.99752        0.13391  
  100    2.68553        0.26112    2.71068        0.25786   0.02259        0.68707   0.99829         0.4262  
-------------------------------------------------------------------------------------------------------------
