                             t1   p-value (t1)        t2   p-value (t2)  
-------------------------------------------------------------------------
          mardia   173575.88409     0.00071***   3.26586      0.00109**  
         royston     1647.70428        0.0****                           
   henze-zirkler            1.0            1.0                           
  doornik-hansen     1494.63828        0.0****                           
          energy        5.30197        0.0****                           
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   64   17.29335     0.00018***   11.25937      0.00359**    0.0897        0.0****   0.99295     0.00011***  
   65   27.74848        0.0****   16.02582     0.00033***   0.08834        0.0****   0.99289     0.0001****  
   66     5.1395        0.07655    4.53668        0.10348   0.09395        0.0****   0.99288     0.0001****  
   67   15.84482     0.00036***   10.55461      0.00511**    0.0865        0.0****   0.99238      5e-05****  
   68   11.89237      0.00262**    8.62541        0.0134*   0.08907        0.0****   0.99262      7e-05****  
   69   19.10945      7e-05****     14.752     0.00063***    0.1062        0.0****   0.99204      3e-05****  
   70   17.98806     0.00012***   11.74763      0.00281**   0.09026        0.0****   0.99482      0.00168**  
   71   25.88333        0.0****   15.05471     0.00054***   0.07475      3e-05****   0.99171      2e-05****  
   72   39.28226        0.0****   20.49334      4e-05****   0.08789        0.0****   0.99026        0.0****  
   73   44.84824        0.0****   22.10146      2e-05****    0.0979        0.0****   0.98902        0.0****  
   74   22.66369      1e-05****   14.19333     0.00083***   0.09352        0.0****   0.99132      1e-05****  
   75   16.68557     0.00024***   10.88913      0.00432**   0.07758      1e-05****   0.99307     0.00013***  
   76   28.83008        0.0****   17.08055      0.0002***   0.07789      1e-05****   0.99126      1e-05****  
   77   20.56615      3e-05****   14.52478      0.0007***   0.08336        0.0****   0.99304     0.00012***  
   78   41.81374        0.0****   21.19872      2e-05****   0.09558        0.0****   0.99043        0.0****  
   79    3.31261        0.19084    3.26185        0.19575    0.0859        0.0****     0.996       0.01097*  
   80   18.96965      8e-05****   12.06485       0.0024**   0.08795        0.0****   0.99331     0.00018***  
   81   20.44124      4e-05****   13.59592      0.00112**   0.08712        0.0****   0.99279      9e-05****  
   82   10.85145       0.0044**     7.8242          0.02*   0.09047        0.0****   0.99404     0.00052***  
   83    5.91059        0.05206    5.14096         0.0765   0.07627      2e-05****   0.99448       0.001***  
   84   12.74198      0.00171**    10.3718      0.00559**    0.0805        0.0****    0.9951      0.00259**  
   85   40.00144        0.0****    20.5123      4e-05****   0.08008      1e-05****   0.98934        0.0****  
   86    7.15292       0.02797*    6.21977       0.04461*   0.08765        0.0****   0.99217      4e-05****  
   87    77.0755        0.0****    32.0868        0.0****   0.08539        0.0****    0.9892        0.0****  
   88    5.60474        0.06067    5.64624        0.05942   0.09556        0.0****   0.99381     0.00037***  
   89   23.52928      1e-05****   14.54085      0.0007***   0.09026        0.0****   0.99101      1e-05****  
   90    4.23098        0.12057    3.96289        0.13787   0.08793        0.0****   0.99457      0.00116**  
   91   26.68867        0.0****   17.22097     0.00018***   0.08602        0.0****   0.99211      4e-05****  
   92   56.85229        0.0****   28.69269        0.0****   0.08904        0.0****   0.98738        0.0****  
   93    8.23052       0.01632*    6.39403       0.04088*   0.09771        0.0****    0.9924      5e-05****  
   94    5.64484        0.05946    4.77844         0.0917   0.08276        0.0****   0.99484      0.00175**  
   95   25.23685        0.0****   16.45214     0.00027***   0.09403        0.0****   0.99127      1e-05****  
   96   14.04881     0.00089***    9.60362      0.00821**   0.08743        0.0****   0.99224      4e-05****  
   97    9.78306      0.00751**    7.26855        0.0264*   0.09195        0.0****   0.99491      0.00194**  
   98   16.47462     0.00026***   11.69559      0.00289**   0.07998      1e-05****   0.99282      9e-05****  
   99   14.37548     0.00076***   11.56499      0.00308**   0.08695        0.0****   0.99252      6e-05****  
  100   44.25382        0.0****   27.51681        0.0****   0.09701        0.0****   0.98944        0.0****  
-------------------------------------------------------------------------------------------------------------
